Job Title,Required Skills,Experience Level,Employment Type,Sector,CGPA,Qualification,Masters,Company Name,Age
Data analyst,SAP,Junior,full time,IT,8,Bachelor of Engineering,Not Required,BOSCH,22-25 
Web Developer,"HTML, CSS, JavaScript, React, Node.js",Fresher,full time,IT,8,Bachelor of Engineering,Not Required,HCL Technologies,22-24
Data Scientist,"TensorFlow, PyTorch, ",Senior,full time,IT,7.5,Bachelor of Engineering,Not Required,BOSCH,31-40
Cloud Engineer,"AWS, Azure, Google Cloud, Kubernetes and Docker",Mid-level,full time,IT,9,Bachelor of Engineering,Required,Cisco Systems,26-30
DevOps Engineer,"Jenkins, GitLab, CircleCI, Kubernetes orchestration",Senior,full time,IT,8,Bachelor of Engineering,Required,Cisco Systems,31-40
Database Administrator,"SQL, PL/SQL, MySQL, PostgreSQL, Oracle, Query optimization, Security and compliance",Mid-level,full time,IT,8,Bachelor of Engineering,Not Required,Shopify,26-30
Cybersecurity Analyst,"Nmap, Metasploit, Encryption and security protocols, SIEM tools (Splunk, QRadar), Ethical hacking,Sap",Fresher,full time,IT,8.5,Bachelor of Engineering,Not Required,Tech Mahindra,22-24
IT Consultant,"IT strategy and planning, Cloud computing knowledge, Change management, Communication skills, Problem-solving skills",Senior,full time,IT,7.5,Bachelor of Engineering,Not Required,BOSCH,31-40
UI/UX Designer,"Figma, Adobe XD, Sketch, Wireframing and prototyping, HTML/CSS basics",Junior,full time,IT,7.5,Bachelor of Engineering,Required,Tech Mahindra,22-25
Game Developer,"Game engines (Unity, Unreal Engine), C++, C#, Python, 3D modeling and animation, Game physics, Graphics optimization",Mid-level,full time,IT,9,Bachelor of Engineering,Required,Nvidia,26-30
ERP Specialist,"SAP, Oracle, Microsoft Dynamics, Business process analysis, Data migration, SQL for ERP databases",Senior,full time,IT,8,Bachelor of Engineering,Not Required,SAP,31-40
Blockchain Developer,"Blockchain platforms (Ethereum, Hyperledger), Smart contracts (Solidity), Cryptography, Consensus algorithms, Distributed ledger systems",Mid-level,full time,IT,9,Bachelor of Engineering,Required,Hyperledger,26-30
Full Stack Developer,SAP,Senior,full time,IT,8,Bachelor of Engineering,Not Required,HCL Technologies,31-40
Artificial Intelligence Engineer,"AI frameworks (TensorFlow, PyTorch), Programming (Python, R), Data science and machine learning, Cloud AI tools, Natural Language Processing (NLP)",Senior,full time,IT,8,Bachelor of Engineering,Required,Tech Mahindra,31-40
Technical Writer,"Documentation tools (MS Word, Google Docs), Technical knowledge (coding, IT systems), Simplifying technical concepts, Editing and proofreading, Communication skills",Fresher,full time,IT,8,Bachelor of Engineering,Not Required,TCS,22-24
IoT Engineer,"IoT protocols (MQTT, CoAP), Embedded systems (Raspberry Pi, Arduino), Programming (C, Python), Cloud platforms for IoT (AWS IoT, Azure IoT), Networking and sensors",Mid-level,full time,IT,8,Bachelor of Engineering,Not Required,BOSCH,26-30
Scrum Master,"Agile/Scrum principles, Sprint planning and execution, Team collaboration tools (JIRA, Trello), Conflict resolution, Leadership and facilitation",Senior,full time,IT,8,Bachelor of Engineering,Required,Atlassian,31-40
Penetration Tester,"Ethical hacking tools (Metasploit, Burp Suite), Vulnerability analysis, Scripting for testing (Python, Bash), Network security, Report writing",Mid-level,full time,IT,8,Bachelor of Engineering,Not Required,Accenture,26-30
IT Auditor,"Compliance standards (ISO, GDPR), Risk assessment, IT security tools, Analytical skills, Documentation and reporting",Senior,full time,IT,9,Bachelor of Engineering,Not Required,TCS,31-40
RPA Developer,"RPA tools (UiPath, Blue Prism, Automation Anywhere), Process automation design, Debugging and testing, Workflow management",Mid-level,full time,IT,8,Bachelor of Engineering,Required,BOSCH,26-30
Embedded Systems Engineer,"Microcontroller programming, Real-time operating systems (RTOS), Hardware knowledge, C/C++ programming, Debugging embedded systems",Fresher,full time,IT,9,Bachelor of Engineering,Required,Nvidia,22-24
